scenario,strategy,annual_flow_kinzhal,annual_flow_cruise,annual_flow_shahed,capital_cost,total_cost,lives_saved,cost_per_life,pk_kinzhal,pk_cruise,pk_shahed
28,passive,258.8924138379788,905.4274922727255,8727.279697859258,957362591.2784613,1548762604.1560435,482615.577177914,3209.101979700708,0.5057623945477816,0.8794118888573373,0.9517067371286875
29,passive,424.34806530257987,2630.2598527811983,17383.477173862782,899934903.1104316,1455859605.137661,569872.7992855407,2554.7097649912353,0.41699475205530856,0.8974025997141759,0.9470497914957959
30,passive,176.4988225799406,1581.0109970580747,15308.571551267414,820157395.3505015,1326800435.9190779,655259.0444194799,2024.8487177991465,0.655557629707449,0.8704839856480964,0.9429504354423999
31,passive,241.4297281981454,2326.928841790036,9485.8692011112,867822009.6479268,1403909331.5850272,440521.1493621822,3186.928331631085,0.5353200986465644,0.8329450375256643,0.7540795399504363
32,passive,226.24544045073486,1738.1849658333558,10380.806772838678,505868476.2391069,818363058.8430276,234113.26820540472,3495.5859832985534,0.665152602845765,0.7287157180621203,0.9449843724074087
33,passive,438.610945219816,1739.7249955011441,11467.735005198201,1122275490.7493143,1815548599.3162746,167808.02130377005,10819.200329105399,0.43215951941697917,0.7348890219898596,0.9049331299572666
34,passive,256.79405673093765,2674.2257436031,8248.78100147363,1329433183.9054744,2150675636.0798965,554598.5233431952,3877.8964341905053,0.20468096468573246,0.8359699274535217,0.9914614924273363
35,passive,82.04748743418418,4147.734963259483,12313.930207824887,847126653.1147048,1370429650.4586442,350669.59353408735,3908.036726672823,0.5350677392539577,0.894628516095531,0.9401561782022664
36,passive,234.4757862200963,1601.7905228868153,7833.018456128242,903922958.1930013,1462311236.5586782,452609.0856810549,3230.848170796866,0.2658579766384567,0.5827646885880019,0.7879535424155621
37,passive,262.96490993316553,1849.4653137430953,11074.676758335045,620683888.3661427,1004104405.2284701,693051.8762124511,1448.8156510244662,0.7607166531104699,0.8971997322282455,0.8566324381460015
38,passive,181.45916446157486,2997.21904943515,10992.2947746308,839491693.7162606,1358078280.44661,593533.7495850893,2288.1230956048867,0.41095594380561495,0.8243284825084723,0.9124357524466746
39,passive,189.9527067931392,2961.4509325564727,12347.249084762148,1001352609.1682372,1619926962.6598153,306015.6051471176,5293.609003635721,0.2946033551479104,0.9448834058128426,0.9417528594488035
40,passive,126.47362724130132,2124.895233362947,8585.223673345128,663233367.142044,1072938347.72297,356211.19523921487,3012.0848588221224,0.5457398320890977,0.8980272139850798,0.9925274113413166
41,passive,116.8133885991572,3076.209611833263,7014.926109946306,994295074.8652979,1608509715.6256018,364311.63343540824,4415.202722069504,0.6500887907713279,0.957801900717929,0.7759291801650223
42,passive,294.5094392337276,1203.1407430325035,13389.913985258841,738282204.5352938,1194347763.4437532,663255.8593884645,1800.7345830988459,0.4953963438652158,0.8817973590687178,0.9670875397937311
43,passive,100.18422279652901,1766.2727605599498,11656.766561355244,928141334.5785495,1501490243.573381,245176.85778088527,6124.110803782565,0.7376124812933413,0.6920054038461548,0.9874714409975478
44,passive,302.4052962448448,2312.320005171778,16397.02224518556,1005264732.9174105,1626255757.0170913,595935.8813154736,2728.910622779218,0.21340282078320374,0.8535899285891594,0.9428285557783476
45,passive,86.72298702884443,1099.709428713765,8388.330443358505,909193379.6274011,1470837401.7756004,604001.2238033268,2435.1563271907053,0.4285371824414816,0.8766618960497062,0.9261213027578581
46,passive,176.03915596723365,1135.3505526661008,15347.555188005153,828708510.8309666,1340633907.166663,186612.42290919015,7184.05498555177,0.6504975407408747,0.8390116946713506,0.8213798960957039
47,passive,432.25527979384964,2118.8569366605225,10955.05714954887,534878728.8617906,865294069.9441955,330823.03570432897,2615.579861607783,0.443090777237088,0.8156605439423887,0.9735666352948946
48,passive,190.24104872763317,2336.8988743137866,8864.166972213348,1022467047.1550444,1654084608.1116493,382426.5717748629,4325.234516092726,0.41715972927885187,0.8335104426192843,0.9549268595286897
49,passive,68.1191642048938,1522.1047564124647,8613.557032793851,1663773345.700849,2691550686.3204427,460024.65832456626,5850.883507252003,0.441210665131963,0.8847418777654635,0.9734541806114817
50,passive,250.5435868401486,1102.285814671058,10168.877425369441,1211834876.350535,1960432291.8001575,187772.68998454124,10440.454849752401,0.32772983188458443,0.7949048159866454,0.941608804943611
51,passive,225.05083179798606,1190.3783616761675,9752.077837695602,963837558.8124523,1559237410.327839,252678.90956043472,6170.825309640284,0.425459010982349,0.6625203678064224,0.8710371487215128
52,passive,188.77961004366483,1930.3795354038853,8343.579258337373,752892116.7069855,1217982785.1457229,481619.18393415195,2528.933285415492,0.5034359110553603,0.8119049724480669,0.9831704441998727
53,passive,348.13185724855657,2843.1944721501486,9375.49754088194,1253261840.591846,2027450298.9848464,255415.3361608032,7937.856549492445,0.5810012843544232,0.8065495459938218,0.9218240572573854
54,passive,283.33116587386075,2063.606622626978,10713.093707240101,885654722.8269396,1432758003.5029614,344373.60121649096,4160.475711383742,0.4841807774377229,0.9057928273432472,0.8389584231046705
55,passive,326.1984977209167,1777.335663759073,9695.568989759977,924801542.1308721,1496087331.765747,635475.9046832548,2354.2786134612825,0.5704730886516186,0.7542214194704311,0.9788768464849397
56,passive,178.26212134189805,2030.7791454597966,5480.169964974562,952797304.7752656,1541377163.0725708,259694.7771265355,5935.34140396493,0.44538184995436947,0.9790489044054916,0.8768611292008901
57,passive,159.8018289455336,2452.640843960918,8919.603308516193,836517808.200845,1353267310.478412,382139.0283074852,3541.2957333149334,0.6802511325000633,0.9204316215523163,0.958213878636994
58,passive,129.32546485230512,2098.743260142153,8331.648199681444,487673887.6976039,788928967.112479,366728.58110903256,2151.261199022613,0.616590020253635,0.6336809425848766,0.8146284133816691
59,passive,194.96919813041401,5028.394853551452,11386.013819800735,914442606.1417849,1479329279.1481698,422136.87723794754,3504.3829594501653,0.5059566409875417,0.564217861382861,0.9320865287702901
60,passive,520.383524841048,3028.281022122163,5027.740764119963,801597271.5337555,1296775003.593071,572552.2972462225,2264.902280246028,0.44334413845114373,0.6287189176192678,0.9325311739536695
61,passive,169.13639565658042,952.4090167903742,6930.470591825097,390863580.9045069,632315178.1218337,172239.26686895292,3671.144156709204,0.47586782575260356,0.8657881857963716,0.9144842687995344
62,passive,187.40558794839387,3356.4386297546002,12101.980761489802,920257259.1985378,1488735868.9736762,484609.4682921379,3072.0321545104835,0.29482773121062705,0.8237174066537206,0.9486491361000087
63,passive,324.02345103503313,4299.743543731446,10991.668623203253,992692443.944704,1605917077.4123566,278355.350868425,5769.305574339231,0.22630126762647115,0.6544187981470809,0.851882486437914
