total_capital_cost,annual_opex,total_5yr_cost,patriot_5yr_cost,shelter_5yr_cost,savings_vs_patriot,savings_vs_shelters,prototype_months,partial_months,full_months,ai_accuracy,network_availability,hit_probability,sead_attrition_rate,ew_effectiveness,daily_kinzhal_rate,total_kinzhal_5yr,intercepted_kinzhal,leaked_kinzhal,casualties_without_defense,casualties_with_ai,casualties_with_shelters,lives_saved_by_ai,lives_saved_by_shelters,cost_per_life_saved,shelter_cost_per_life,system_failure_risk,budget_overrun_risk,is_cheaper_than_patriot,is_cheaper_than_shelters,hits_target_budget,hits_target_performance
2252407735.6559796,476649534.91219735,4316050777.125368,974233209725.6511,500000000,969917158948.5258,-3816050777.125368,20.689266011025765,22.1048767542745,32.20911887995536,0.8977530631792151,0.6708161019414138,0.4188772803097195,0.05924044933351637,0.23957213626964036,40.36648951588373,73668.84336648781,30858.204752917132,42810.63861357068,4281063.861357068,1289240.0734567877,14713.399113420624,2991823.78790028,4266350.462243647,1442.6153019374367,117.1961854575475,0.7477407040009854,0,1,0,0,0
1920378882.6041808,595902071.0830452,4500322997.338814,633541667188.5204,500000000,629041344191.1815,-4000322997.338814,21.462132199457532,23.802137211205572,39.63676770003418,0.8674050556581224,0.8011482785045682,0.48121779748134225,0.07289649217485128,0.15082895085585016,25.500140367255185,46537.75617024071,22394.79652396698,24142.95964627373,2414295.964627373,523476.6409739195,37008.908314616616,1890819.3236534535,2377287.0563127566,2380.0914984533056,210.32378007202672,0.6655920958813446,0,1,0,0,0
1625432892.3969028,614493098.3306925,4285866425.883286,1059884881486.7163,500000000,1055599015060.833,-3785866425.883286,22.12985858069672,28.81178537474359,40.530626581732136,0.7915617970566226,0.8061297762050357,0.47900428720838734,0.04507514746298848,0.20133480107415824,44.967602883614724,82065.87526259688,39309.90608429264,42755.969178304236,4275596.917830423,1950097.0105180086,223691.01682777313,2325499.9073124146,4051905.90100265,1842.9871411332247,123.39871956954238,0.6943466293894826,0,1,0,0,0
1418540133.8224473,626697130.5296547,4131810740.0018644,1262543538498.9395,500000000,1258411727758.9375,-3631810740.0018644,16.89771819634806,21.597979943251175,36.077197239719894,0.883348602577588,0.7575302285667848,0.4857629819749461,0.053162011767467765,0.335679735457248,35.96088623096965,65628.61737151962,31879.95287728212,33748.6644942375,3374866.44942375,1018858.9697655478,134156.7475718185,2356007.4796582023,3240709.7018519314,1753.7341352588944,154.28719200435347,0.6749452551124445,0,1,0,0,0
1586581844.9455416,627696632.534783,4304179771.738411,1007875765283.8948,500000000,1003571585512.1564,-3804179771.738411,13.338463867352594,25.734139129748772,33.89172254390049,0.8520462600085487,0.7193916703569473,0.4654466085375707,0.11344599684567021,0.39459551996109893,42.51162323890975,77583.71241101029,36111.07581945897,41472.636591551316,4147263.659155132,1364068.8778425471,33047.80337172486,2783194.781312585,4114215.855783407,1546.4888769691186,121.52984129336419,0.714702182344642,0,1,0,0,0
1460292069.5052812,570559169.5960844,3930514683.486021,5882233143058.65,500000000,5878302628375.164,-3430514683.486021,17.06190689855655,23.928167288564055,45.20028966573916,0.9070301948046391,0.7862831765839988,0.5171465778824568,0.06877641980092991,0.38671686293664964,196.21953029379068,358100.642786168,185190.52195437488,172910.12083179315,17291012.083179314,4021908.4994680127,443018.6676817878,13269103.5837113,16847993.415497527,296.21554000912215,29.677124608802256,0.6311800678848203,0,1,0,1,0
1708021275.4915447,498987519.5057724,3868376100.1277266,4110084621947.0093,500000000,4106216245846.8813,-3368376100.1277266,21.897064487594275,26.36325847287076,30.47921641164825,0.9684409471991254,0.7018831932897459,0.4532572216664292,0.08254283655615918,0.2688499869867215,102.585969061135,187219.39353657136,84858.54215646016,102360.8513801112,10236085.13801112,3432960.2764917146,372113.2498389621,6803124.861519406,9863971.888172159,568.6175366276852,50.68951996908543,0.691906369779737,0,1,0,1,0
1593322488.9956474,695515254.5506597,4604539557.640585,650299044463.2354,500000000,645694504905.5947,-4104539557.640585,16.827905443322088,26.974721210782686,30.072075829344342,0.9490356354080831,0.5459813657205315,0.37355988741634955,0.04599707384065173,0.4598654584058342,33.991601063297885,62034.67194051864,23173.66506601032,38861.00687450832,3886100.6874508318,828742.7251478044,78568.64507087409,3057357.9623030275,3807532.0423799576,1506.0518311608191,131.31865849971078,0.8064377880214504,0,1,0,0,0
1206135208.9793575,641851125.6389848,3985014683.4514728,1815617478482.1677,500000000,1811632463798.7163,-3485014683.4514728,19.33556858002276,22.32502045663158,37.88321508314576,0.9838357715301265,0.8641694660046139,0.5774134381375543,0.07571113348816275,0.3562178097254674,69.10342903769873,126113.75799380019,72819.77859964765,53293.97939415254,5329397.939415255,3288112.0299840188,474647.69958840375,2041285.9094312359,4854750.239826851,1952.208000378457,102.9919100468149,0.5090826137256161,0,1,0,1,0
2153406775.656192,593264477.5693029,4721931490.806469,1154990921384.7712,500000000,1150268989893.9648,-4221931490.806469,23.484777898116388,23.519033777546674,32.75522032348931,0.8903712582221145,0.803213935029422,0.5322595388182803,0.10250207435477461,0.42549570563902017,50.30458670692231,91805.87074013322,48864.55042095396,42941.32031917926,4294132.031917926,2302752.6460395018,400074.9745069862,1991379.3858784242,3894057.0574109396,2371.1862863959304,128.40078936399493,0.6193500123422071,0,1,0,0,0
