total_capital_cost,annual_opex,total_5yr_cost,patriot_5yr_cost,shelter_5yr_cost,savings_vs_patriot,savings_vs_shelters,prototype_months,partial_months,full_months,ai_accuracy,network_availability,hit_probability,sead_attrition_rate,ew_effectiveness,daily_kinzhal_rate,total_kinzhal_5yr,intercepted_kinzhal,leaked_kinzhal,casualties_without_defense,casualties_with_ai,casualties_with_shelters,lives_saved_by_ai,lives_saved_by_shelters,cost_per_life_saved,shelter_cost_per_life,system_failure_risk,budget_overrun_risk,is_cheaper_than_patriot,is_cheaper_than_shelters,hits_target_budget,hits_target_performance
2110189437.3733826,643361641.2565815,4895608653.9725065,1455588310495.992,500000000,1450692701842.0195,-4395608653.9725065,21.229579105772437,23.482826737521368,49.22228727352832,0.9482740452661709,0.6608856959592523,0.43243250142702616,0.09892683488604692,0.3294392568329461,57.59373537430495,105108.56705810654,45452.36057434733,59656.206483759204,5965620.64837592,3733028.305850908,814150.5013717794,2232592.342525012,5151470.147004141,2192.791115836079,97.05967145918086,0.7289942260082454,0,1,0,0,0
1576727729.4654708,668866144.054135,4472568095.922641,1343682743565.3591,500000000,1339210175469.4365,-3972568095.922641,22.205133297639154,21.025939087756637,40.799783546038135,0.9200816151467869,0.7001169650049135,0.4367960399040573,0.03133059964783064,0.21303844175225115,71.10442370441255,129765.57326055292,56681.088516089345,73084.48474446358,7308448.474446358,1925031.8068705627,204841.4685744029,5383416.667575795,7103607.005871955,830.80474206294,70.38677668777171,0.7186313890481653,0,1,0,0,0
1195912228.2529016,577468726.2127558,3696049606.4099236,711507382779.5616,500000000,707811333173.1517,-3196049606.4099236,19.176351986091575,27.647582922291626,44.6788447206704,0.9403196584529595,0.7142901056076164,0.4631862641893149,0.07489695215034269,0.31044398084295227,42.12840303530417,76884.3355394301,35611.76815318641,41272.567386243696,4127256.7386243697,1390111.1658065752,127786.93554648658,2737145.5728177945,3999469.803077883,1350.3299360892127,125.0165708502696,0.6888958375736851,0,1,0,1,0
1566320030.2688913,435103314.76278937,3450089680.848526,1049467360453.0426,500000000,1046017270772.1941,-2950089680.848526,23.612137117577458,24.333336690187643,43.20689962118025,0.9723255562191616,0.7629411231406205,0.4730395285087883,0.06905455290428389,0.13739266800789002,32.24915352616551,58854.70518525205,27840.60199135537,31014.103193896684,3101410.3193896683,1626208.376600715,150419.04130200183,1475201.9427889532,2950991.2780876663,2338.7236559124476,169.43459091618038,0.6490864338206628,0,1,0,1,0
1926119218.9455686,687983080.639572,4904725916.3633175,1373533638267.37,500000000,1368628912351.0068,-4404725916.3633175,26.168106645707827,25.002195709227433,39.51892437063248,0.9044541148587826,0.7498255242745775,0.5008489765179269,0.08005968337513471,0.4344770160105811,43.206886408062836,78852.56769471467,39493.22782570839,39359.33986900628,3935933.986900628,912460.6882351507,25583.884512872904,3023473.2986654774,3910350.102387755,1622.215720750106,127.8657887166389,0.6603328483160478,0,1,0,0,0
1680998744.2227201,382561389.58965623,3337289355.535245,895986992490.555,500000000,892649703135.0198,-2837289355.535245,28.43191556292761,28.509265103454112,52.48239483433569,0.9389558360012662,0.6255932801582545,0.4205276659634538,0.05066475913445741,0.418596808255241,25.574657323362565,46673.74961513669,19627.60298741608,27046.146627720605,2704614.6627720604,561802.3324884227,59666.09601675589,2142812.3302836376,2644948.5667553046,1557.4342691473582,189.03959278625064,0.7529801728844927,0,1,0,1,0
1721796148.8320894,625533579.2997513,4430029187.106556,678570980927.9061,500000000,674140951740.7996,-3930029187.106556,13.965296647092188,20.575122669926007,43.56236921359476,0.8174686899332126,0.83502014413348,0.5410458703698328,0.09406158705072863,0.43445021281782026,30.866724593688364,56331.772383481264,30478.072818695928,25853.699564785336,2585369.956478534,795777.938782115,36530.759630585744,1789592.0176964188,2548839.1968479482,2475.440850931451,196.16773024297916,0.6306805613547293,0,1,0,0,0
2214754723.0041804,629775259.6712875,4941352017.491487,927991332782.3506,500000000,923049980764.8591,-4441352017.491487,22.4994684119654,21.254220156921914,41.861111056569854,0.7947401668764403,0.5028423849210669,0.29583139346205445,0.05513765608795004,0.16640820457277158,34.812638241767125,63533.064791225006,18795.075088103084,44737.98970312192,4473798.970312192,1420596.6362338138,174349.95394845027,3053202.334078378,4299449.016363742,1618.4161666387088,116.29397118025949,0.8817771839612535,0,1,0,0,0
1340594168.0389767,537537109.2904409,3667848542.3102694,3971228371019.501,500000000,3967560522477.191,-3167848542.3102694,19.938601939002,30.797318556935323,38.22746933413764,0.9266865857625513,0.4929380663302606,0.3186406103215211,0.07619807438342295,0.3149375197660508,115.41661558063082,210635.32343465125,67116.96801448826,143518.355420163,14351835.5420163,4494800.314579246,655217.1341975795,9857035.227437053,13696618.40781872,372.10463975017706,36.50536103966909,0.8544452579954924,0,1,0,1,0
1465162574.9959776,643942925.0817962,4253098446.3553834,1482701551299.6726,500000000,1478448452853.3171,-3753098446.3553834,19.093384612892066,20.74660163751934,44.47383202797951,0.9363870745703023,0.8451287409108361,0.5626412875964294,0.11199327577540003,0.39288659178709306,53.13129308184551,96964.60987436805,54556.292950999894,42408.316923368155,4240831.692336815,2453321.861114869,88160.15324057551,1787509.8312219465,4152671.53909624,2379.342687837389,120.40441804574236,0.5547438980678198,0,1,0,0,0
